date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreTOL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
122512	08:57:30	1	Language	Language	0	French	3252	0	0	08:57:30	3335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122512	08:57:30	1	Session	Session	0	6mo	2909	0	0	08:57:30	6320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122512	08:57:30	1	HandFr	HandFr	0	LeftFr	1507	0	0	08:57:30	7905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122512	08:57:30	1	AudioCheckFr	WordsFr	0	0	0	0	0	08:57:30	14825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122512	08:57:30	1	practiceTOLFR	choice	0	R	4981	0	0	08:57:30	81789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	-2	R	0	0	0	5063	0	0	76726	81789
122512	08:57:30	1	practiceTOLFR	choice	0	B	1447	0	0	08:57:30	87281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	-1	R3B	0	0	0	5063	0	0	85810	87280
122512	08:57:30	1	practiceTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	90541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	R3B1	1	3	3	5063	6741	11804	85810	87280
122512	08:57:30	1	testTOLFR	choice	0	B	2373	0	0	08:57:30	100986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	-2	B	0	0	0	2417	0	0	98569	100986
122512	08:57:30	1	testTOLFR	choice	0	R	1226	0	0	08:57:30	104393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	-1	B3R	0	0	0	2417	0	0	103152	104393
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	107991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	B3R2	1	3	3	2417	4996	7413	103152	104393
122512	08:57:30	1	testTOLFR	choice	0	R	3588	0	0	08:57:30	112628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	-3	R	0	0	3	3631	0	0	108997	112628
122512	08:57:30	1	testTOLFR	choice	0	B	1138	0	0	08:57:30	116134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	-2	R3B	0	0	3	3631	0	0	114983	116133
122512	08:57:30	1	testTOLFR	choice	0	R	1140	0	0	08:57:30	118121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	2	-1	R3B1R	0	0	3	3631	0	0	116958	118121
122512	08:57:30	1	testTOLFR	choice	0	B	827	0	0	08:57:30	119727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	3	0	R3B1R2B	0	0	3	3631	0	0	118885	119727
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	123174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	4	1	R3B1R2B2	1	0	3	3631	8536	12167	118885	119727
122512	08:57:30	1	testTOLFR	choice	0	B	22927	0	0	08:57:30	147131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	-3	B	0	0	3	22951	0	0	124180	147131
122512	08:57:30	1	testTOLFR	choice	0	R	1386	0	0	08:57:30	149648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	-2	B3R	0	0	3	22951	0	0	148242	149648
122512	08:57:30	1	testTOLFR	choice	0	B	812	0	0	08:57:30	153045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	2	-1	B3R2B	0	0	3	22951	0	0	152204	153045
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	155990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	3	0	B3R2B2	1	2	5	22951	6847	29798	152204	153045
122512	08:57:30	1	testTOLFR	choice	0	R	6089	0	0	08:57:30	163126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	0	-4	R	0	0	5	6130	0	0	156996	163126
122512	08:57:30	1	testTOLFR	choice	0	G	971	0	0	08:57:30	165549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	1	-3	R2G	0	0	5	6130	0	0	164553	165549
122512	08:57:30	1	testTOLFR	choice	0	R	1379	0	0	08:57:30	168242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	2	-2	R2G3R	0	0	5	6130	0	0	166841	168242
122512	08:57:30	1	testTOLFR	choice	0	B	741	0	0	08:57:30	173560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	3	-1	R2G3R1B	0	0	5	6130	0	0	172795	173560
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	177036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	4	0	R2G3R1B1	1	3	8	6130	11901	18031	172795	173560
122512	08:57:30	1	testTOLFR	choice	0	R	4015	0	0	08:57:30	182090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	0	-5	R	0	0	8	4048	0	0	178042	182090
122512	08:57:30	1	testTOLFR	choice	0	G	1383	0	0	08:57:30	184463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	1	-4	R3G	0	0	8	4048	0	0	183051	184463
122512	08:57:30	1	testTOLFR	choice	0	R	938	0	0	08:57:30	186203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	2	-3	R3G2R	0	0	8	4048	0	0	185243	186203
122512	08:57:30	1	testTOLFR	choice	0	G	742	0	0	08:57:30	188076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	3	-2	R3G2R1G	0	0	8	4048	0	0	187314	188075
122512	08:57:30	1	testTOLFR	choice	0	B	687	0	0	08:57:30	190440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	4	-1	R3G2R1G3B	0	0	8	4048	0	0	189729	190440
122512	08:57:30	1	testTOLFR	choice	0	G	1659	0	0	08:57:30	192780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	5	0	R3G2R1G3B1G	0	0	8	4048	0	0	191108	192780
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	195859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	5	6	1	R3G2R1G3B1G1	1	0	8	4048	11760	15808	191108	192780
122512	08:57:30	1	testTOLFR	choice	0	R	6879	0	0	08:57:30	203772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	0	-5	R	0	0	8	6907	0	0	196865	203772
122512	08:57:30	1	testTOLFR	choice	0	G	622	0	0	08:57:30	205524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	1	-4	R2G	0	0	8	6907	0	0	204879	205523
122512	08:57:30	1	testTOLFR	choice	0	R	714	0	0	08:57:30	208719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	2	-3	R2G3R	0	0	8	6907	0	0	207992	208719
122512	08:57:30	1	testTOLFR	choice	0	B	794	0	0	08:57:30	211301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	3	-2	R2G3R1B	0	0	8	6907	0	0	210492	211301
122512	08:57:30	1	testTOLFR	choice	0	G	1068	0	0	08:57:30	213293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	4	-1	R2G3R1B1G	0	0	8	6907	0	0	212197	213293
122512	08:57:30	1	testTOLFR	feedbackFR	0	0	2000	0	0	08:57:30	216708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	5	0	R2G3R1B1G1	1	2	10	6907	10927	17834	212197	213293
