date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreTOL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
021213	08:02:20	1	Language	Language	0	French	118791	0	0	08:02:20	118965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	Session	Session	0	6mo	14029	0	0	08:02:20	133127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	HandFr	HandFr	0	RightFr	2234	0	0	08:02:20	135476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	AudioCheckFr	WordsFr	0	0	0	0	0	08:02:20	162192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	CubeFr	CubeFr	1	1Cube	1691	0	0	08:02:20	165115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2100	1	0	08:02:20	169614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	612	0	0	08:02:20	170280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1700	1	0	08:02:20	172029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	9	0	0	08:02:20	172096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2300	1	0	08:02:20	174445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	132	0	0	08:02:20	174645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1800	1	0	08:02:20	176495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	233	0	0	08:02:20	176794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1500	1	0	08:02:20	178344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	191	0	0	08:02:20	178594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2000	1	0	08:02:20	180643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	172	0	0	08:02:20	180876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1600	1	0	08:02:20	182526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	257	0	0	08:02:20	182842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	57	2263	0	0	08:02:20	186158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2200	1	0	08:02:20	188407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	217	0	0	08:02:20	188690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1900	1	0	08:02:20	190639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	230	0	0	08:02:20	190922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2400	1	0	08:02:20	193372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	174	0	0	08:02:20	193605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1600	1	0	08:02:20	195254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	194	0	0	08:02:20	195504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1800	1	0	08:02:20	197354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	193	0	0	08:02:20	197604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2300	1	0	08:02:20	199953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	191	0	0	08:02:20	200202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2400	1	0	08:02:20	202652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	197	0	0	08:02:20	202901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1500	1	0	08:02:20	204451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	365	0	0	08:02:20	204884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2100	1	0	08:02:20	207033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	274	0	0	08:02:20	207367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2200	1	0	08:02:20	209616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	406	0	0	08:02:20	210082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	1900	1	0	08:02:20	212032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	266	0	0	08:02:20	212365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	blank.simpleFr	2	0	2000	1	0	08:02:20	214414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
021213	08:02:20	1	pm.simpleFrRight	pm.simpleFr	2	57	200	0	0	08:02:20	214681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
